station,pws_id,date,tmax_pws,unit
LIMC,IGALLA17,2026-02-14,10.4,C
LIMC,IGALLA17,2026-02-02,6.1,C
LIMC,IGALLA17,2026-01-21,12.1,C
LIMC,IGALLA29,2026-06-26,36.8,C
LIMC,IGALLA29,2026-06-14,31.1,C
LIMC,IGALLA29,2026-06-02,23.4,C
LIMC,IGALLA29,2026-05-21,29.4,C
LIMC,IGALLA29,2026-05-09,26.4,C
LIMC,IGALLA29,2026-04-27,27.8,C
LIMC,IGALLA29,2026-04-15,23.9,C
LIMC,IGALLA29,2026-04-03,25.3,C
LIMC,IGALLA29,2026-03-22,14.4,C
LIMC,IGALLA29,2026-03-10,11.8,C
LIMC,IGALLA29,2026-02-26,18.4,C
LIMC,IGALLA29,2026-02-14,10.3,C
LIMC,IGALLA29,2026-02-02,5.7,C
LIMC,IGALLA29,2026-01-21,9.6,C
LIMC,IGALLA30,2026-06-26,36.9,C
LIMC,IGALLA30,2026-06-14,32.2,C
LIMC,IGALLA30,2026-06-02,23.3,C
LIMC,IGALLA30,2026-05-21,29.1,C
LIMC,IGALLA30,2026-05-09,26.4,C
LIMC,IGALLA30,2026-04-27,27.4,C
LIMC,IGALLA30,2026-04-15,23.6,C
LIMC,IGALLA30,2026-04-03,24.1,C
LIMC,IGALLA30,2026-03-22,13.2,C
LIMC,IGALLA30,2026-03-10,12.5,C
LIMC,IGALLA30,2026-02-26,17.8,C
LIMC,IGALLA30,2026-02-14,18.0,C
LIMC,IGALLA30,2026-02-02,5.8,C
LIMC,IGALLA30,2026-01-21,4.7,C
NZWN,IWELLI478,2026-07-08,12.8,C
NZWN,IWELLI478,2026-07-02,14.1,C
NZWN,IWELLI478,2026-06-26,10.8,C
NZWN,IWELLI478,2026-06-20,17.1,C
NZWN,IWELLI478,2026-06-14,18.4,C
NZWN,IWELLI478,2026-06-08,17.8,C
NZWN,IWELLI478,2026-06-02,19.9,C
NZWN,IWELLI478,2026-05-27,16.9,C
NZWN,IWELLI478,2026-05-21,18.2,C
NZWN,IWELLI478,2026-05-15,14.4,C
NZWN,IWGNLYAL3,2026-07-08,9.4,C
NZWN,IWGNLYAL3,2026-07-02,9.4,C
NZWN,IWGNLYAL3,2026-06-26,10.1,C
NZWN,IWGNLYAL3,2026-06-20,16.6,C
NZWN,IWGNLYAL3,2026-06-14,16.8,C
NZWN,IWGNLYAL3,2026-06-08,16.1,C
NZWN,IWGNLYAL3,2026-06-02,19.4,C
NZWN,IWGNLYAL3,2026-05-27,14.8,C
NZWN,IWGNLYAL3,2026-05-21,16.5,C
NZWN,IWGNLYAL3,2026-05-15,13.0,C
NZWN,IWGNLYAL3,2026-05-09,17.4,C
NZWN,IWGNLYAL3,2026-05-03,16.3,C
NZWN,IWGNLYAL3,2026-04-27,17.1,C
NZWN,IWGNLYAL3,2026-04-21,11.7,C
NZWN,IWGNLYAL3,2026-04-15,18.8,C
NZWN,IWGNLYAL3,2026-04-09,20.6,C
NZWN,IWGNLYAL3,2026-04-03,19.4,C
NZWN,IWGNLYAL3,2026-03-28,22.2,C
NZWN,IWGNLYAL3,2026-03-22,21.2,C
NZWN,IWGNLYAL3,2026-03-16,22.2,C
NZWN,IWGNLYAL3,2026-03-10,16.5,C
NZWN,IWGNLYAL3,2026-03-04,17.5,C
NZWN,IWGNLYAL3,2026-02-26,-40.0,C
NZWN,IWGNLYAL3,2026-02-20,-40.0,C
NZWN,IWGNLYAL3,2026-02-14,22.4,C
NZWN,IWGNLYAL3,2026-02-08,22.0,C
NZWN,IWGNLYAL3,2026-02-02,20.5,C
NZWN,IWGNLYAL3,2026-01-21,21.9,C
NZWN,IWELLI216,2026-07-08,12.4,C
NZWN,IWELLI216,2026-07-02,14.5,C
NZWN,IWELLI216,2026-06-26,10.1,C
NZWN,IWELLI216,2026-06-20,16.3,C
NZWN,IWELLI216,2026-06-14,18.1,C
NZWN,IWELLI216,2026-06-08,17.4,C
NZWN,IWELLI216,2026-06-02,20.0,C
NZWN,IWELLI216,2026-05-27,16.8,C
NZWN,IWELLI216,2026-05-21,16.7,C
NZWN,IWELLI216,2026-05-15,13.8,C
NZWN,IWELLI216,2026-05-09,17.3,C
NZWN,IWELLI216,2026-05-03,18.2,C
NZWN,IWELLI216,2026-04-27,19.2,C
NZWN,IWELLI216,2026-04-21,11.2,C
NZWN,IWELLI216,2026-04-15,20.1,C
NZWN,IWELLI216,2026-04-09,21.8,C
NZWN,IWELLI216,2026-04-03,20.3,C
NZWN,IWELLI216,2026-03-28,22.9,C
NZWN,IWELLI216,2026-03-22,22.8,C
NZWN,IWELLI216,2026-03-16,23.9,C
NZWN,IWELLI216,2026-03-10,16.4,C
NZWN,IWELLI216,2026-03-04,20.6,C
NZWN,IWELLI216,2026-02-26,20.5,C
NZWN,IWELLI216,2026-02-20,24.7,C
NZWN,IWELLI216,2026-02-14,19.7,C
NZWN,IWELLI216,2026-02-08,19.1,C
NZWN,IWELLI216,2026-02-02,21.5,C
NZWN,IWELLI216,2026-01-27,16.2,C
NZWN,IWELLI216,2026-01-21,22.6,C
NZWN,IWELLI324,2026-04-09,20.9,C
NZWN,IWELLI324,2026-04-03,19.3,C
NZWN,IWELLI324,2026-03-28,21.8,C
NZWN,IWELLI324,2026-03-22,22.3,C
NZWN,IWELLI324,2026-03-16,22.0,C
NZWN,IWELLI324,2026-03-10,17.5,C
NZWN,IWELLI324,2026-02-26,20.3,C
NZWN,IWELLI324,2026-02-20,24.3,C
NZWN,IWELLI324,2026-02-14,20.2,C
NZWN,IWELLI324,2026-02-08,20.3,C
NZWN,IWELLI438,2026-07-08,12.4,C
NZWN,IWELLI438,2026-07-02,13.4,C
NZWN,IWELLI438,2026-06-26,9.7,C
NZWN,IWELLI438,2026-06-20,16.2,C
NZWN,IWELLI438,2026-06-14,17.9,C
NZWN,IWELLI438,2026-06-08,17.2,C
NZWN,IWELLI438,2026-06-02,19.7,C
NZWN,IWELLI438,2026-05-27,15.8,C
NZWN,IWELLI438,2026-05-21,17.5,C
NZWN,IWELLI438,2026-05-15,13.3,C
NZWN,IWELLI438,2026-05-09,18.0,C
NZWN,IWELLI438,2026-05-03,17.6,C
NZWN,IWELLI438,2026-04-27,18.0,C
NZWN,IWELLI438,2026-04-21,10.9,C
NZWN,IWELLI438,2026-04-15,21.3,C
NZWN,IWELLI438,2026-04-09,22.1,C
NZWN,IWELLI438,2026-04-03,20.8,C
NZWN,IWELLI438,2026-03-28,22.8,C
NZWN,IWELLI438,2026-03-22,23.8,C
NZWN,IWELLI438,2026-03-16,24.2,C
NZWN,IWELLI438,2026-03-10,19.1,C
NZWN,IWELLI438,2026-03-04,20.7,C
NZWN,IWELLI438,2026-02-26,21.0,C
NZWN,IWELLI438,2026-02-20,24.8,C
NZWN,IWELLI438,2026-02-14,19.9,C
NZWN,IWELLI438,2026-02-08,20.6,C
NZWN,IWELLI438,2026-02-02,21.3,C
NZWN,IWELLI438,2026-01-27,16.3,C
NZWN,IWELLI438,2026-01-21,22.8,C
NZWN,IWELLI36,2026-07-08,13.4,C
NZWN,IWELLI36,2026-07-02,13.2,C
NZWN,IWELLI36,2026-06-26,10.4,C
NZWN,IWELLI36,2026-06-20,16.8,C
NZWN,IWELLI36,2026-06-14,17.3,C
NZWN,IWELLI36,2026-06-08,16.6,C
NZWN,IWELLI36,2026-06-02,20.6,C
NZWN,IWELLI36,2026-05-27,15.3,C
NZWN,IWELLI36,2026-05-21,16.7,C
NZWN,IWELLI36,2026-05-15,14.4,C
NZWN,IWELLI36,2026-05-09,17.9,C
NZWN,IWELLI36,2026-05-03,16.8,C
NZWN,IWELLI36,2026-04-27,18.9,C
NZWN,IWELLI36,2026-04-21,11.4,C
NZWN,IWELLI36,2026-04-15,19.7,C
NZWN,IWELLI36,2026-04-09,20.9,C
NZWN,IWELLI36,2026-04-03,19.1,C
NZWN,IWELLI36,2026-03-28,22.5,C
NZWN,IWELLI36,2026-03-22,22.2,C
NZWN,IWELLI36,2026-03-16,22.5,C
NZWN,IWELLI36,2026-03-10,18.3,C
NZWN,IWELLI36,2026-03-04,19.9,C
NZWN,IWELLI36,2026-02-26,20.4,C
NZWN,IWELLI36,2026-02-20,23.7,C
NZWN,IWELLI36,2026-02-14,20.1,C
NZWN,IWELLI36,2026-02-08,21.8,C
NZWN,IWELLI36,2026-02-02,20.7,C
NZWN,IWELLI36,2026-01-27,17.2,C
NZWN,IWELLI36,2026-01-21,22.2,C
NZWN,IWELLI524,2026-07-08,11.7,C
NZWN,IWELLI524,2026-07-02,12.2,C
NZWN,IWELLI524,2026-06-26,9.3,C
NZWN,IWELLI524,2026-06-20,15.8,C
NZWN,IWELLI524,2026-06-14,15.1,C
NZWN,IWELLI524,2026-05-27,15.9,C
NZWN,IWELLI524,2026-05-21,16.3,C
NZWN,IWELLI524,2026-05-15,13.1,C
NZWN,IWELLI524,2026-05-09,17.7,C
NZWN,IWELLI524,2026-05-03,18.2,C
NZWN,IWELLI524,2026-04-27,18.5,C
NZWN,IWELLI524,2026-04-21,10.5,C
NZWN,IWELLI524,2026-04-15,21.8,C
NZWN,IWELLI524,2026-04-09,21.9,C
NZWN,IWELLI524,2026-03-16,24.6,C
NZWN,IWELLI524,2026-03-10,17.5,C
NZWN,IWELLI524,2026-03-04,19.0,C
NZWN,IWELLI524,2026-02-26,21.8,C
NZWN,IWELLI524,2026-02-20,24.5,C
NZWN,IWELLI524,2026-02-14,19.5,C
NZWN,IWELLI524,2026-02-08,20.9,C
NZWN,IWELLI524,2026-02-02,23.3,C
NZWN,IWELLI524,2026-01-27,15.7,C
NZWN,IWELLI524,2026-01-21,22.2,C
NZWN,IWELLI56,2026-07-08,11.9,C
NZWN,IWELLI56,2026-07-02,13.7,C
NZWN,IWELLI56,2026-06-26,9.6,C
NZWN,IWELLI56,2026-06-20,16.1,C
NZWN,IWELLI56,2026-06-14,17.5,C
NZWN,IWELLI56,2026-06-08,17.1,C
NZWN,IWELLI56,2026-06-02,19.7,C
NZWN,IWELLI56,2026-05-27,16.7,C
NZWN,IWELLI56,2026-05-21,16.7,C
NZWN,IWELLI56,2026-05-15,13.4,C
NZWN,IWELLI56,2026-05-09,17.5,C
NZWN,IWELLI56,2026-05-03,17.9,C
NZWN,IWELLI56,2026-04-27,18.4,C
NZWN,IWELLI56,2026-04-21,10.4,C
NZWN,IWELLI56,2026-04-15,20.5,C
NZWN,IWELLI56,2026-04-09,20.9,C
NZWN,IWELLI56,2026-04-03,20.6,C
NZWN,IWELLI56,2026-03-28,23.3,C
NZWN,IWELLI56,2026-03-22,23.3,C
NZWN,IWELLI56,2026-03-16,23.7,C
NZWN,IWELLI56,2026-03-10,17.6,C
NZWN,IWELLI56,2026-03-04,20.4,C
NZWN,IWELLI56,2026-02-26,20.2,C
NZWN,IWELLI56,2026-02-20,24.2,C
NZWN,IWELLI56,2026-02-14,19.7,C
NZWN,IWELLI56,2026-02-08,19.7,C
NZWN,IWELLI56,2026-02-02,21.5,C
NZWN,IWELLI56,2026-01-27,16.5,C
NZWN,IWELLI56,2026-01-21,21.7,C
NZWN,IWELLI187,2026-07-08,12.3,C
NZWN,IWELLI187,2026-07-02,12.6,C
NZWN,IWELLI187,2026-06-26,9.8,C
NZWN,IWELLI187,2026-06-20,16.2,C
NZWN,IWELLI187,2026-06-14,17.0,C
NZWN,IWELLI187,2026-06-08,17.1,C
NZWN,IWELLI187,2026-06-02,19.7,C
NZWN,IWELLI187,2026-05-27,15.0,C
NZWN,IWELLI187,2026-05-21,16.4,C
NZWN,IWELLI187,2026-05-15,13.0,C
NZWN,IWELLI187,2026-05-09,17.5,C
NZWN,IWELLI187,2026-05-03,16.6,C
NZWN,IWELLI187,2026-04-27,17.2,C
NZWN,IWELLI187,2026-04-21,11.1,C
NZWN,IWELLI448,2026-07-08,13.2,C
NZWN,IWELLI448,2026-07-02,14.1,C
NZWN,IWELLI448,2026-06-26,10.0,C
NZWN,IWELLI448,2026-06-20,16.6,C
NZWN,IWELLI448,2026-06-14,17.3,C
NZWN,IWELLI448,2026-06-08,17.4,C
NZWN,IWELLI448,2026-06-02,19.9,C
NZWN,IWELLI448,2026-05-27,15.7,C
NZWN,IWELLI448,2026-05-21,17.2,C
NZWN,IWELLI448,2026-05-15,13.7,C
NZWN,IWELLI448,2026-05-09,18.1,C
NZWN,IWELLI448,2026-05-03,17.1,C
NZWN,IWELLI448,2026-04-27,18.3,C
NZWN,IWELLI448,2026-04-21,11.2,C
NZWN,IWELLI448,2026-04-15,20.4,C
NZWN,IWELLI448,2026-04-09,20.9,C
NZWN,IWELLI448,2026-04-03,19.7,C
NZWN,IWELLI448,2026-03-28,23.1,C
NZWN,IWELLI448,2026-03-22,22.7,C
NZWN,IWELLI448,2026-03-16,23.8,C
NZWN,IWELLI448,2026-03-10,18.8,C
NZWN,IWELLI448,2026-03-04,20.8,C
NZWN,IWELLI448,2026-02-26,20.8,C
NZWN,IWELLI448,2026-02-20,24.4,C
NZWN,IWELLI448,2026-02-14,20.1,C
NZWN,IWELLI448,2026-02-08,21.3,C
NZWN,IWELLI448,2026-02-02,21.1,C
NZWN,IWELLI448,2026-01-27,17.4,C
NZWN,IWELLI448,2026-01-21,23.1,C
LTAC,IANKAR46,2026-07-08,30.9,C
LTAC,IANKAR46,2026-07-02,35.0,C
LTAC,IANKAR46,2026-06-26,32.3,C
LTAC,IANKAR46,2026-06-20,27.4,C
LTAC,IANKAR46,2026-06-14,24.5,C
LTAC,IANKAR46,2026-06-08,30.9,C
LTAC,IANKAR46,2026-06-02,27.9,C
LTAC,IANKAR46,2026-05-27,28.9,C
LTAC,IANKAR46,2026-05-21,22.5,C
LTAC,IANKAR46,2026-05-15,18.3,C
LTAC,IANKAR46,2026-05-09,22.2,C
LTAC,IANKAR46,2026-05-03,10.6,C
LTAC,IANKAR46,2026-04-27,23.0,C
LTAC,IANKAR46,2026-04-21,18.8,C
LTAC,IANKAR46,2026-04-15,21.5,C
LTAC,IANKAR46,2026-04-09,10.0,C
LTAC,IANKAR46,2026-04-03,13.2,C
LTAC,IANKAR46,2026-03-28,18.2,C
LTAC,IANKAR46,2026-03-22,14.1,C
LTAC,IANKAR46,2026-03-16,14.3,C
LTAC,IANKAR46,2026-03-10,14.4,C
LTAC,IANKAR46,2026-03-04,12.9,C
LTAC,IANKAR46,2026-02-26,5.9,C
LTAC,IANKAR46,2026-02-20,13.9,C
LTAC,IANKAR46,2026-02-14,10.7,C
LTAC,IANKAR46,2026-02-08,11.7,C
LTAC,IANKAR46,2026-02-02,11.8,C
LTAC,IANKAR46,2026-01-27,12.8,C
LTAC,IANKAR46,2026-01-21,1.7,C
